iteration,MSE_train,MSE_tst,acc_train,acc_test,elapsed
0,0.170241286863,0.157232704403,0.659517426273,0.685534591195,0.011362796
10,0.170241286863,0.157232704403,0.659517426273,0.685534591195,0.065086704
20,0.170241286863,0.157232704403,0.659517426273,0.685534591195,0.117040295
30,0.170241286863,0.157232704403,0.659517426273,0.685534591195,0.184258
40,0.170241286863,0.157232704403,0.659517426273,0.685534591195,0.231612593
50,0.170241286863,0.157232704403,0.659517426273,0.685534591195,0.277342769
60,0.170241286863,0.157232704403,0.659517426273,0.685534591195,0.32404852
70,0.170241286863,0.157232704403,0.659517426273,0.685534591195,0.368307783
80,0.170241286863,0.157232704403,0.659517426273,0.685534591195,0.415456259
90,0.170241286863,0.157232704403,0.659517426273,0.685534591195,0.460712772
100,0.170241286863,0.157232704403,0.659517426273,0.685534591195,0.506015237
110,0.170241286863,0.157232704403,0.659517426273,0.685534591195,0.55050097
120,0.170241286863,0.157232704403,0.659517426273,0.685534591195,0.596426659
130,0.170241286863,0.157232704403,0.659517426273,0.685534591195,0.657135397
140,0.170241286863,0.157232704403,0.659517426273,0.685534591195,0.70166492
150,0.170241286863,0.157232704403,0.659517426273,0.685534591195,0.747216726
160,0.170241286863,0.157232704403,0.659517426273,0.685534591195,0.791868388
170,0.170241286863,0.157232704403,0.659517426273,0.685534591195,0.839213586
180,0.170241286863,0.157232704403,0.659517426273,0.685534591195,0.88247065
190,0.170241286863,0.157232704403,0.659517426273,0.685534591195,0.93466728
200,0.170241286863,0.157232704403,0.659517426273,0.685534591195,0.978634373
210,0.170241286863,0.157232704403,0.659517426273,0.685534591195,1.022539767
220,0.170241286863,0.157232704403,0.659517426273,0.685534591195,1.070283309
230,0.170241286863,0.157232704403,0.659517426273,0.685534591195,1.111952263
240,0.170241286863,0.157232704403,0.659517426273,0.685534591195,1.161350191
250,0.170241286863,0.157232704403,0.659517426273,0.685534591195,1.205311588
260,0.170241286863,0.157232704403,0.659517426273,0.685534591195,1.250184268
270,0.170241286863,0.157232704403,0.659517426273,0.685534591195,1.298360496
280,0.170241286863,0.157232704403,0.659517426273,0.685534591195,1.34292871
290,0.170241286863,0.157232704403,0.659517426273,0.685534591195,1.38791254
300,0.170241286863,0.157232704403,0.659517426273,0.685534591195,1.432536508
310,0.170241286863,0.157232704403,0.659517426273,0.685534591195,1.473201859
320,0.170241286863,0.157232704403,0.659517426273,0.685534591195,1.518555245
