iterations,fitness,time,fevals
0,59.0,0.008755952,3369735
100,61.0,0.014109744,3374324
200,67.0,0.019495197,3378843
300,71.0,0.025724274,3383459
400,68.0,0.03077775,3388062
500,66.0,0.036722753,3392616
600,68.0,0.04437389,3397152
700,66.0,0.050071089,3401700
800,72.0,0.05530049,3406257
900,70.0,0.059833449,3410832
1000,67.0,0.064609041,3415353
1100,69.0,0.069888898,3419922
1200,70.0,0.075825297,3424470
1300,76.0,0.083485458,3429087
1400,78.0,0.089270331,3433613
1500,77.0,0.095408564,3438162
1600,78.0,0.100878976,3442699
1700,77.0,0.105511459,3447266
1800,78.0,0.110986439,3451859
1900,76.0,0.1160143,3456432
2000,74.0,0.123249305,3460957
2100,74.0,0.133710902,3465483
2200,71.0,0.146430673,3470105
2300,73.0,0.156229601,3474647
2400,71.0,0.169965303,3479244
2500,72.0,0.185993065,3483782
2600,76.0,0.190824972,3488372
2700,74.0,0.195593845,3492909
2800,73.0,0.201383349,3497426
2900,76.0,0.206757976,3502052
3000,75.0,0.211933166,3506650
3100,71.0,0.21650625,3511234
3200,72.0,0.221340277,3515774
3300,70.0,0.225990569,3520336
3400,68.0,0.230550447,3524861
3500,77.0,0.235254818,3529432
3600,76.0,0.241250765,3533968
3700,74.0,0.24672952,3538545
3800,75.0,0.251384048,3543099
3900,74.0,0.259006876,3547659
4000,73.0,0.265187291,3552234
4100,73.0,0.271454452,3556794
4200,76.0,0.276781403,3561352
4300,76.0,0.282475289,3565887
4400,72.0,0.287171706,3570432
4500,69.0,0.291973961,3574991
4600,75.0,0.296957108,3579573
4700,80.0,0.301490002,3584152
4800,77.0,0.307488207,3588681
4900,76.0,0.313782528,3593253
5000,71.0,0.320227928,3597800
5100,79.0,0.327124702,3602329
5200,76.0,0.33183575,3606921
5300,74.0,0.336556822,3611452
5400,73.0,0.341472528,3616005
5500,73.0,0.346306049,3620568
5600,74.0,0.351505801,3625127
5700,75.0,0.357168627,3629695
5800,73.0,0.364513783,3634272
5900,83.0,0.37064449,3638873
6000,81.0,0.376384285,3643424
6100,77.0,0.382244673,3647957
6200,79.0,0.389345426,3652499
6300,70.0,0.397350865,3657052
6400,72.0,0.403774467,3661618
6500,71.0,0.410339903,3666141
6600,73.0,0.415213688,3670640
6700,71.0,0.420863136,3675180
6800,74.0,0.427001039,3679732
6900,75.0,0.431814725,3684214
7000,83.0,0.437519438,3688757
7100,77.0,0.444226326,3693330
7200,76.0,0.448932419,3697885
7300,73.0,0.453486986,3702431
7400,69.0,0.45832567,3707058
7500,70.0,0.464144051,3711610
7600,74.0,0.468711177,3716157
7700,79.0,0.473117634,3720630
7800,80.0,0.478721415,3725205
7900,75.0,0.485036958,3729778
8000,77.0,0.489678561,3734313
8100,79.0,0.494238872,3738874
8200,72.0,0.498991374,3743436
8300,71.0,0.504172217,3747982
8400,74.0,0.509517652,3752527
8500,74.0,0.516658375,3757056
8600,73.0,0.522927193,3761611
8700,75.0,0.528299036,3766167
8800,71.0,0.533549937,3770748
8900,74.0,0.541612064,3775335
9000,75.0,0.546149948,3779913
9100,74.0,0.551163355,3784455
9200,71.0,0.556606137,3789046
9300,74.0,0.562706895,3793593
9400,73.0,0.567606945,3798164
9500,78.0,0.572232709,3802740
9600,69.0,0.576708996,3807245
9700,73.0,0.581416602,3811827
9800,68.0,0.586157051,3816391
9900,72.0,0.590761108,3820933
10000,72.0,0.595883892,3825517
