iterations,fitness,time,fevals
0,66.0,0.010857344,2997957
100,69.0,0.018899105,3001642
200,79.0,0.033192693,3005315
300,78.0,0.048990062,3008975
400,79.0,0.063448559,3012669
500,79.0,0.078911702,3016345
600,79.0,0.098280133,3020000
700,80.0,0.107913579,3023682
800,83.0,0.11460287,3027343
900,83.0,0.125978859,3031012
1000,86.0,0.134444566,3034692
1100,86.0,0.147405762,3038371
1200,86.0,0.156987192,3042039
1300,83.0,0.1675007,3045703
1400,80.0,0.177048274,3049374
1500,83.0,0.185988735,3053047
1600,83.0,0.197130847,3056734
1700,86.0,0.205325984,3060429
1800,86.0,0.216436623,3064116
1900,86.0,0.227099026,3067791
2000,86.0,0.233608141,3071478
2100,86.0,0.243014495,3075151
2200,86.0,0.250635607,3078818
2300,86.0,0.263978161,3082522
2400,86.0,0.27529749,3086202
2500,86.0,0.282785044,3089857
2600,86.0,0.292568599,3093525
2700,86.0,0.299298452,3097176
2800,86.0,0.311204406,3100848
2900,86.0,0.320623943,3104520
3000,86.0,0.327570449,3108195
3100,86.0,0.338204139,3111857
3200,86.0,0.346239528,3115518
3300,86.0,0.355662575,3119167
3400,86.0,0.363644513,3122847
3500,86.0,0.373331229,3126525
3600,86.0,0.380315349,3130182
3700,86.0,0.390382158,3133863
3800,86.0,0.39811744,3137552
3900,86.0,0.405784369,3141218
4000,86.0,0.413698804,3144895
4100,86.0,0.42052376,3148581
4200,86.0,0.429328012,3152210
4300,86.0,0.435993698,3155892
4400,86.0,0.44264473,3159592
4500,86.0,0.449421629,3163266
4600,86.0,0.457500989,3166967
4700,86.0,0.465087277,3170632
4800,84.0,0.472575886,3174294
4900,84.0,0.479182147,3177942
5000,82.0,0.485760801,3181626
5100,82.0,0.492751727,3185296
5200,84.0,0.499326764,3188926
5300,86.0,0.506259699,3192603
5400,86.0,0.514310263,3196274
5500,86.0,0.520733443,3199945
5600,86.0,0.527572879,3203629
5700,86.0,0.534495841,3207301
5800,86.0,0.541070231,3210979
5900,86.0,0.548744319,3214624
6000,86.0,0.557296679,3218289
6100,86.0,0.564802313,3221961
6200,86.0,0.571995228,3225604
6300,86.0,0.579168176,3229277
6400,87.0,0.589708516,3232952
6500,86.0,0.596975859,3236623
6600,86.0,0.603783056,3240307
6700,87.0,0.610504293,3243966
6800,84.0,0.617096421,3247635
6900,86.0,0.623803293,3251295
7000,86.0,0.632682049,3254959
7100,86.0,0.639287692,3258644
7200,85.0,0.646211823,3262323
7300,86.0,0.65261454,3265992
7400,85.0,0.659477819,3269653
7500,85.0,0.666408931,3273297
7600,85.0,0.674331447,3276968
7700,85.0,0.681292176,3280621
7800,86.0,0.688220462,3284316
7900,86.0,0.694761215,3288001
8000,86.0,0.704127608,3291649
8100,86.0,0.714541653,3295309
8200,84.0,0.722337757,3298981
8300,86.0,0.729445791,3302673
8400,86.0,0.736988559,3306344
8500,86.0,0.745252721,3310009
8600,86.0,0.762438625,3313676
8700,86.0,0.769722039,3317322
8800,86.0,0.777630291,3320995
8900,86.0,0.784917307,3324671
9000,86.0,0.791993309,3328326
9100,86.0,0.80090847,3331996
9200,86.0,0.810381283,3335677
9300,86.0,0.818279575,3339342
9400,86.0,0.826416952,3342998
9500,85.0,0.83486911,3346681
9600,85.0,0.845116168,3350361
9700,86.0,0.853115099,3354046
9800,86.0,0.862123804,3357711
9900,86.0,0.869955238,3361403
10000,86.0,0.879733086,3365076
