iterations,fitness,time,fevals
0,56.0,0.003695715,4165214
100,57.0,0.007366162,4167078
200,70.0,0.011137902,4168946
300,76.0,0.014661871,4170811
400,77.0,0.019305349,4172669
500,76.0,0.024285743,4174516
600,80.0,0.029144398,4176377
700,80.0,0.032683287,4178209
800,81.0,0.036118494,4180085
900,80.0,0.03982991,4181969
1000,80.0,0.043341614,4183831
1100,81.0,0.047338188,4185687
1200,81.0,0.051311594,4187542
1300,84.0,0.054810804,4189392
1400,84.0,0.058284963,4191243
1500,82.0,0.062380758,4193100
1600,84.0,0.067055027,4194970
1700,84.0,0.071054058,4196832
1800,84.0,0.075308252,4198681
1900,84.0,0.079447845,4200545
2000,84.0,0.083691535,4202396
2100,84.0,0.087940406,4204269
2200,84.0,0.092323438,4206121
2300,84.0,0.099332389,4207990
2400,84.0,0.104182859,4209852
2500,84.0,0.107714592,4211725
2600,84.0,0.111198785,4213601
2700,84.0,0.114885361,4215477
2800,84.0,0.118567938,4217326
2900,84.0,0.122641686,4219179
3000,84.0,0.126182334,4221034
3100,81.0,0.129706149,4222896
3200,81.0,0.133214251,4224762
3300,84.0,0.137642654,4226626
3400,82.0,0.142037091,4228481
3500,84.0,0.14609087,4230316
3600,84.0,0.149677706,4232169
3700,84.0,0.153183259,4234018
3800,84.0,0.156757339,4235871
3900,84.0,0.160467872,4237741
4000,84.0,0.163893433,4239610
4100,84.0,0.167369235,4241468
4200,84.0,0.170905702,4243334
4300,84.0,0.174623025,4245192
4400,84.0,0.17975284,4247054
4500,84.0,0.183599892,4248908
4600,84.0,0.187099939,4250773
4700,84.0,0.190628587,4252630
4800,83.0,0.194171252,4254486
4900,81.0,0.198040936,4256352
5000,84.0,0.201722845,4258214
5100,81.0,0.205263893,4260084
5200,81.0,0.208812518,4261922
5300,84.0,0.212373004,4263774
5400,84.0,0.21704922,4265639
5500,81.0,0.220714939,4267476
5600,81.0,0.224311356,4269361
5700,81.0,0.227769911,4271238
5800,81.0,0.231195428,4273110
5900,82.0,0.234863561,4274966
6000,84.0,0.23838433,4276830
6100,81.0,0.242034482,4278694
6200,80.0,0.245740301,4280538
6300,80.0,0.249858251,4282405
6400,78.0,0.254402331,4284270
6500,78.0,0.257956175,4286108
6600,81.0,0.262386239,4287970
6700,81.0,0.266011675,4289827
6800,82.0,0.270348802,4291687
6900,82.0,0.274357589,4293539
7000,82.0,0.278429562,4295401
7100,84.0,0.281922391,4297272
7200,84.0,0.285420304,4299121
7300,84.0,0.289942127,4300999
7400,84.0,0.294898915,4302844
7500,83.0,0.298388068,4304723
7600,83.0,0.301916108,4306571
7700,83.0,0.305518627,4308413
7800,81.0,0.309061623,4310277
7900,83.0,0.312766935,4312136
8000,83.0,0.316244548,4314004
8100,83.0,0.319795236,4315872
8200,83.0,0.323629575,4317737
8300,83.0,0.327197432,4319601
8400,83.0,0.332188791,4321451
8500,84.0,0.335662329,4323309
8600,83.0,0.339211215,4325175
8700,84.0,0.343099385,4327037
8800,83.0,0.346557135,4328898
8900,83.0,0.350424649,4330754
9000,84.0,0.353992678,4332601
9100,84.0,0.358454454,4334453
9200,84.0,0.367147385,4336315
9300,85.0,0.375366985,4338178
9400,87.0,0.383808166,4340061
9500,87.0,0.392411653,4341912
9600,88.0,0.404121025,4343793
9700,88.0,0.412391301,4345651
9800,88.0,0.417190423,4347498
9900,88.0,0.421212934,4349365
10000,88.0,0.425254566,4351233
