iteration,MSE_train,MSE_tst,acc_train,acc_test,elapsed
0,0.170241286863,0.157232704403,0.659517426273,0.685534591195,0.058789705
10,0.191965577178,0.196952900988,0.608579088472,0.603773584906,0.204788888
20,0.167786423547,0.151856387467,0.662198391421,0.691823899371,0.36902752
30,0.154764309548,0.195864313628,0.675603217158,0.578616352201,0.570161477
40,0.159557408644,0.218291855538,0.646112600536,0.534591194969,0.732324343
50,0.148022143735,0.185880321228,0.664879356568,0.584905660377,0.900020911
60,0.144792758289,0.177354800864,0.667560321716,0.59748427673,1.066696674
70,0.148783595408,0.170487418065,0.656836461126,0.603773584906,1.234556796
80,0.139867677913,0.159412620884,0.659517426273,0.62893081761,1.420342927
90,0.130092556133,0.145416153763,0.69436997319,0.616352201258,1.58137324
100,0.125351699689,0.151182951575,0.699731903485,0.635220125786,1.735428066
110,0.121960924086,0.153006759105,0.707774798928,0.647798742138,1.888749389
120,0.115555307676,0.150558215079,0.707774798928,0.647798742138,2.054476682
130,0.111541259816,0.153422520543,0.707774798928,0.59748427673,2.208928212
140,0.111409921231,0.150065998517,0.710455764075,0.635220125786,2.367718966
150,0.100398792763,0.137287145978,0.745308310992,0.666666666667,2.534886712
160,0.0989124681763,0.135123806399,0.747989276139,0.660377358491,2.69901652
170,0.0950487725509,0.132761372246,0.73726541555,0.660377358491,2.845335904
180,0.0899441427138,0.124422102881,0.756032171582,0.685534591195,2.997617798
190,0.0884379273444,0.120689480633,0.758713136729,0.698113207547,3.146029561
200,0.0860594895456,0.117059370096,0.758713136729,0.685534591195,3.291621686
210,0.0838137420345,0.113079418067,0.769436997319,0.698113207547,3.444221161
220,0.0817314400513,0.10997412047,0.769436997319,0.710691823899,3.59104781
230,0.0797467966299,0.107412292193,0.774798927614,0.716981132075,3.736193423
240,0.0774506889122,0.106052171118,0.782841823056,0.735849056604,3.878886307
250,0.0759216444317,0.106184269631,0.801608579088,0.729559748428,4.021442872
260,0.074961935706,0.106376201169,0.785522788204,0.729559748428,4.163616593
270,0.0739109992661,0.1065236986,0.798927613941,0.729559748428,4.313237414
280,0.0734490150076,0.105982915825,0.796246648794,0.723270440252,4.455139124
290,0.0719931547863,0.104673031169,0.804289544236,0.729559748428,4.602206227
300,0.0717986545998,0.105131932773,0.793565683646,0.735849056604,4.749967397
310,0.0713111329046,0.105403416491,0.793565683646,0.710691823899,4.89340611
320,0.0711181456336,0.104482934058,0.798927613941,0.729559748428,5.035318561
330,0.0712063061614,0.104617788771,0.798927613941,0.729559748428,5.177780741
340,0.071064547247,0.104681505538,0.796246648794,0.735849056604,5.322967677
350,0.0698940718608,0.105320419945,0.796246648794,0.729559748428,5.467278633
360,0.0689343752292,0.106769666604,0.798927613941,0.716981132075,5.611796258
370,0.0683191135837,0.107916541037,0.798927613941,0.723270440252,5.758136641
380,0.0672954829293,0.107402572493,0.804289544236,0.723270440252,5.904063067
390,0.0661559111297,0.106028671028,0.801608579088,0.74213836478,6.055963147
400,0.065639184228,0.106525269503,0.812332439678,0.748427672956,6.196487142
410,0.0647451923835,0.106111325122,0.812332439678,0.74213836478,6.33795958
420,0.0638232861095,0.10619382987,0.817694369973,0.754716981132,6.483176778
430,0.0625635193723,0.106044423863,0.825737265416,0.74213836478,6.624555648
440,0.0621546226606,0.106076478199,0.823056300268,0.748427672956,6.767701744
450,0.0618218474859,0.110745908908,0.828418230563,0.748427672956,6.912625162
460,0.0617912400908,0.116178646819,0.820375335121,0.729559748428,7.056169095
470,0.0613020866707,0.116939298662,0.828418230563,0.735849056604,7.19746013
480,0.0608117847852,0.117207958691,0.83109919571,0.729559748428,7.338437086
490,0.0598269090973,0.116741905149,0.823056300268,0.729559748428,7.482251037
500,0.0592631787478,0.112832144001,0.828418230563,0.735849056604,7.627415475
510,0.0589267543051,0.11224046986,0.83109919571,0.729559748428,7.770443862
520,0.0585929961949,0.111834098987,0.828418230563,0.735849056604,7.911757771
530,0.058380755716,0.111803997317,0.828418230563,0.74213836478,8.059609743
540,0.0573357575518,0.111950932694,0.83109919571,0.735849056604,8.202345161
550,0.0570269930433,0.11138005147,0.83109919571,0.729559748428,8.344086326
560,0.0569091103445,0.10835323147,0.833780160858,0.748427672956,8.489419273
570,0.056339393794,0.109001033769,0.833780160858,0.748427672956,8.628565785
580,0.0560833946784,0.108247024358,0.836461126005,0.754716981132,8.770892927
590,0.055722495742,0.109098025522,0.836461126005,0.748427672956,8.914134093
600,0.0553672755172,0.109575833869,0.8418230563,0.754716981132,9.065605973
610,0.0552074953615,0.110010717802,0.844504021448,0.767295597484,9.211959759
620,0.0550745412888,0.110143572575,0.847184986595,0.761006289308,9.360394563
630,0.054725209108,0.110152075,0.844504021448,0.767295597484,9.506595385
640,0.0544560026347,0.110426228888,0.849865951743,0.761006289308,9.653913934
650,0.0542073811826,0.110133088086,0.849865951743,0.767295597484,9.798628793
660,0.0552638193769,0.109635760333,0.849865951743,0.761006289308,9.946626852
670,0.0550632349685,0.109652465248,0.85254691689,0.767295597484,10.094275935
680,0.053658891112,0.106948671135,0.857908847185,0.77358490566,10.258686221
690,0.0535750803689,0.107368747152,0.85254691689,0.779874213836,10.456111572
700,0.0535563307699,0.110121995027,0.855227882038,0.77358490566,10.705179331
710,0.0534898378707,0.109894623136,0.85254691689,0.77358490566,10.988139528
720,0.0534441671367,0.109870155962,0.85254691689,0.77358490566,11.184265984
730,0.0531710651695,0.110114945158,0.85254691689,0.77358490566,11.409073555
740,0.0525060874028,0.11382250124,0.855227882038,0.767295597484,11.653595913
750,0.0522646449484,0.114517839158,0.85254691689,0.761006289308,11.857099558
760,0.0521627011234,0.113977679868,0.857908847185,0.767295597484,12.010628759
770,0.0520667183845,0.113691352436,0.860589812332,0.761006289308,12.171449078
780,0.0519221612011,0.114141892479,0.86327077748,0.754716981132,12.324388601
790,0.0518109600648,0.114137431163,0.86327077748,0.754716981132,12.476506749
800,0.0517299112016,0.114200385411,0.86327077748,0.761006289308,12.622528011
810,0.0517175034279,0.114294728197,0.86327077748,0.754716981132,12.775193285
820,0.0516135787968,0.114173529477,0.860589812332,0.754716981132,12.924365703
830,0.0515181317153,0.114319184245,0.86327077748,0.748427672956,13.070618174
840,0.0514575963171,0.114049691008,0.860589812332,0.748427672956,13.220855884
850,0.0513994908101,0.113859650549,0.857908847185,0.748427672956,13.365522662
860,0.0524434410657,0.113880186124,0.860589812332,0.748427672956,13.513334671
870,0.0512369638267,0.113435202678,0.865951742627,0.748427672956,13.66027562
880,0.0521649864802,0.113527266637,0.86327077748,0.748427672956,13.809880445
890,0.0515072098518,0.113559095157,0.860589812332,0.748427672956,13.957339792
900,0.0511271990356,0.113931910889,0.868632707775,0.748427672956,14.108746616
910,0.051140034933,0.113952787463,0.865951742627,0.748427672956,14.256317297
920,0.0510493489499,0.113927514914,0.86327077748,0.748427672956,14.408760344
930,0.0523228597044,0.113883742758,0.860589812332,0.748427672956,14.555769739
940,0.0510125359723,0.113713414041,0.86327077748,0.748427672956,14.705158987
950,0.0509738999201,0.113715347583,0.86327077748,0.748427672956,14.852572741
960,0.0521525311869,0.113623934481,0.860589812332,0.748427672956,14.999872269
970,0.0509291956852,0.113558396503,0.86327077748,0.748427672956,15.147440313
980,0.0517874371728,0.113419718327,0.855227882038,0.748427672956,15.306087532
990,0.0508127418687,0.113456679097,0.86327077748,0.748427672956,15.454096033
1000,0.0507981569323,0.11362474732,0.86327077748,0.748427672956,15.607902886
1010,0.0507762520332,0.113496950475,0.86327077748,0.748427672956,15.759172663
1020,0.050875448383,0.11348966545,0.860589812332,0.748427672956,15.909523594
1030,0.0508165521412,0.113647637149,0.86327077748,0.748427672956,16.062247995
1040,0.0508161802124,0.113599646105,0.86327077748,0.754716981132,16.223474917
1050,0.0507424721021,0.113316055,0.860589812332,0.748427672956,16.377399886
1060,0.050724284607,0.113319589529,0.86327077748,0.748427672956,16.529894298
1070,0.0507198784748,0.113315500232,0.86327077748,0.748427672956,16.684571987
1080,0.0506384867849,0.113371984519,0.86327077748,0.748427672956,16.836246187
1090,0.0505823115307,0.113402500224,0.865951742627,0.748427672956,16.986178366
1100,0.0506045321062,0.113348012605,0.865951742627,0.748427672956,17.140586657
1110,0.0505830856948,0.113208194109,0.865951742627,0.748427672956,17.287943072
1120,0.0505444062876,0.113148495375,0.86327077748,0.748427672956,17.438083393
1130,0.0505440222646,0.113244399255,0.86327077748,0.748427672956,17.583569123
1140,0.0520429920423,0.113243577704,0.860589812332,0.748427672956,17.732806948
