iteration,MSE_train,MSE_test,acc_train,acc_tst,elapsed
0,0.170241286863,0.157232704403,0.659517426273,0.685534591195,0.173349244
10,0.170241286863,0.157232704403,0.659517426273,0.685534591195,2.086270995
20,0.146917560937,0.144158505825,0.70509383378,0.704402515723,4.066050854
30,0.146853797485,0.144295426534,0.70509383378,0.704402515723,6.066454882
40,0.166353861703,0.148417937274,0.664879356568,0.704402515723,8.054183442
50,0.151040991497,0.153295109173,0.680965147453,0.647798742138,10.13238324
60,0.146917560937,0.144158505825,0.70509383378,0.704402515723,12.436447134
70,0.146920233179,0.144158884394,0.70509383378,0.704402515723,14.52118571
80,0.142564479803,0.144911900108,0.707774798928,0.698113207547,16.515858218
90,0.146945603473,0.144191158842,0.70509383378,0.704402515723,18.706220621
100,0.144403115026,0.142632166603,0.70509383378,0.710691823899,20.803836164
110,0.143495816727,0.149288436119,0.697050938338,0.698113207547,22.957973056
120,0.142263259926,0.149143093285,0.702412868633,0.685534591195,24.963242339
130,0.145298174233,0.145804247313,0.702412868633,0.691823899371,27.106554914
140,0.1453483761,0.145803457734,0.702412868633,0.691823899371,29.273675561
150,0.143002082513,0.15393144754,0.702412868633,0.679245283019,31.386689874
160,0.143149062505,0.150102889847,0.699731903485,0.685534591195,33.503327628
170,0.134574282343,0.137333999523,0.71581769437,0.710691823899,35.737663839
180,0.138127336204,0.130553072384,0.71581769437,0.723270440252,38.057316758
190,0.139376749801,0.13243557002,0.710455764075,0.716981132075,40.112241131
200,0.138197539035,0.130187910182,0.71581769437,0.723270440252,42.117568646
210,0.138066405243,0.129978768775,0.718498659517,0.723270440252,44.103278187
220,0.168715766375,0.154075361329,0.659517426273,0.691823899371,46.074938751
230,0.135942078031,0.128494753669,0.71581769437,0.723270440252,48.083686814
240,0.136499406364,0.130553917082,0.718498659517,0.729559748428,50.028825661
250,0.136701957468,0.130574342022,0.718498659517,0.729559748428,52.011694642
260,0.137435173555,0.127044704103,0.70509383378,0.735849056604,53.925432678
270,0.15002682793,0.156339629828,0.672922252011,0.641509433962,55.905038541
280,0.13623486284,0.126407641754,0.702412868633,0.735849056604,58.01597464
290,0.126830022486,0.138652622453,0.731903485255,0.716981132075,60.550193248
300,0.141072413766,0.135778954597,0.70509383378,0.716981132075,63.105185099
310,0.170241289657,0.160190015676,0.659517426273,0.679245283019,65.179113233
320,0.131390285214,0.13783786428,0.72654155496,0.710691823899,67.335975546
330,0.132097101367,0.137628230391,0.723860589812,0.723270440252,69.506279867
340,0.129958684847,0.146622470063,0.71581769437,0.679245283019,71.655739565
350,0.126573196448,0.139448029371,0.734584450402,0.704402515723,74.208642419
360,0.129679345185,0.140132733467,0.718498659517,0.698113207547,76.549338455
370,0.12976085314,0.145057552404,0.721179624665,0.691823899371,78.762356432
380,0.132190334005,0.137437989907,0.723860589812,0.723270440252,80.925275025
390,0.133155763192,0.148197093672,0.721179624665,0.691823899371,82.918579407
