iteration,MSE_train,MSE_test,acc_train,acc_tst,elapsed
0,0.329755610819,0.342767286183,0.340482573727,0.314465408805,0.191649098
10,0.170241286863,0.157232704403,0.659517426273,0.685534591195,2.155555671
20,0.212375344801,0.197503552743,0.552278820375,0.578616352201,4.101727614
30,0.170241286863,0.157232704403,0.659517426273,0.685534591195,5.813876308
40,0.170241286863,0.157232704403,0.659517426273,0.685534591195,7.719344513
50,0.136955902433,0.150662070865,0.699731903485,0.679245283019,9.600297155
60,0.146160319727,0.147534538137,0.69436997319,0.685534591195,11.332798568
70,0.147342570366,0.150724121035,0.686327077748,0.672955974843,13.122257822
80,0.147936611203,0.150296819871,0.686327077748,0.672955974843,14.920204448
90,0.131812488492,0.131609021691,0.707774798928,0.716981132075,16.692468105
100,0.127027121194,0.126353350765,0.723860589812,0.723270440252,18.468094176
110,0.127049002081,0.126352447063,0.723860589812,0.723270440252,20.181420146
120,0.126733472619,0.126440575843,0.723860589812,0.723270440252,22.045842502
130,0.127048392828,0.126352398147,0.723860589812,0.723270440252,23.732682587
140,0.127754462246,0.126669296335,0.729222520107,0.729559748428,25.418625863
150,0.127048392828,0.126352398147,0.723860589812,0.723270440252,27.100321057
160,0.127048392828,0.126352398147,0.723860589812,0.723270440252,28.800422048
170,0.126733472619,0.126440575843,0.723860589812,0.723270440252,30.535511593
180,0.127048392828,0.126352398147,0.723860589812,0.723270440252,32.205542208
190,0.126342337137,0.127315808162,0.72654155496,0.716981132075,34.022582094
200,0.127048392828,0.126348725439,0.723860589812,0.723270440252,35.813501357
210,0.12822432276,0.126853120865,0.72654155496,0.723270440252,37.634562487
220,0.130044652783,0.12770388155,0.71581769437,0.735849056604,39.248260548
230,0.127048392828,0.126352398147,0.723860589812,0.723270440252,41.088053881
240,0.12855069689,0.127140469623,0.71581769437,0.723270440252,43.47935975
250,0.12658106324,0.127335805375,0.729222520107,0.723270440252,45.548167226
260,0.126733472619,0.126440575843,0.723860589812,0.723270440252,47.208437956
270,0.126733472619,0.126440575843,0.723860589812,0.723270440252,48.861993871
280,0.127514855455,0.127440581485,0.721179624665,0.716981132075,50.440027765
290,0.134673237665,0.132255190308,0.707774798928,0.710691823899,52.13149768
300,0.131574395751,0.129180937819,0.713136729223,0.716981132075,53.735056528
310,0.129493409161,0.126752681594,0.72654155496,0.723270440252,55.362207229
320,0.132606673053,0.132208057117,0.707774798928,0.704402515723,56.963494686
330,0.124913677181,0.126747405431,0.72654155496,0.716981132075,58.676127951
340,0.13404688644,0.130164708288,0.70509383378,0.723270440252,60.556957449
350,0.125139387713,0.12648299958,0.713136729223,0.716981132075,62.224651449
360,0.125091198521,0.12662500217,0.72654155496,0.723270440252,63.966999797
370,0.126092764827,0.125064666087,0.72654155496,0.735849056604,65.659002495
380,0.124344462634,0.126502621656,0.729222520107,0.710691823899,67.360746922
390,0.12470488093,0.126819063981,0.723860589812,0.710691823899,69.161005341
