iterations,fitness,time,fevals
0,42.0,0.010052645,3728332
100,40.0,0.017167034,3731967
200,40.0,0.023405657,3735621
300,39.0,0.029649846,3739259
400,40.0,0.036832035,3742924
500,40.0,0.04747668,3746612
600,40.0,0.05395678,3750273
700,39.0,0.060483075,3753940
800,41.0,0.070619348,3757595
900,40.0,0.077593521,3761275
1000,39.0,0.088785092,3764932
1100,38.0,0.098519498,3768601
1200,41.0,0.105244228,3772277
1300,39.0,0.116574026,3775944
1400,38.0,0.125429069,3779636
1500,40.0,0.134994133,3783311
1600,39.0,0.14493672,3786995
1700,39.0,0.160553125,3790661
1800,40.0,0.169362679,3794312
1900,38.0,0.177359016,3797978
2000,40.0,0.183732868,3801660
2100,40.0,0.193182068,3805338
2200,40.0,0.2031727,3809003
2300,39.0,0.209336911,3812688
2400,39.0,0.216060826,3816342
2500,39.0,0.222835128,3820046
2600,40.0,0.229550087,3823702
2700,39.0,0.238993638,3827365
2800,39.0,0.251805507,3831033
2900,39.0,0.258069176,3834674
3000,39.0,0.267108679,3838361
3100,38.0,0.274610359,3842020
3200,39.0,0.282801238,3845690
3300,38.0,0.288992708,3849350
3400,37.0,0.299172097,3853019
3500,39.0,0.305051849,3856692
3600,38.0,0.312182426,3860355
3700,38.0,0.319361004,3864029
3800,39.0,0.328391033,3867696
3900,38.0,0.334667655,3871363
4000,39.0,0.344077066,3875011
4100,37.0,0.35028818,3878668
4200,37.0,0.356978707,3882304
4300,38.0,0.363975363,3885981
4400,39.0,0.370895203,3889658
4500,39.0,0.37724622,3893334
4600,38.0,0.383140051,3897005
4700,38.0,0.393342141,3900667
4800,38.0,0.399353614,3904336
4900,38.0,0.406575135,3908025
5000,39.0,0.413652105,3911702
