iterations,fitness,time,fevals
0,42.0,0.006505588,6328884
100,42.0,0.013096041,6332227
200,40.0,0.019726032,6335545
300,37.0,0.025689631,6338868
400,38.0,0.03132098,6342229
500,40.0,0.04085085,6345572
600,37.0,0.046823214,6348940
700,39.0,0.066961902,6352283
800,37.0,0.073775119,6355620
900,37.0,0.081948933,6358956
1000,36.0,0.093632797,6362305
1100,40.0,0.101035783,6365626
1200,38.0,0.108664143,6368954
1300,37.0,0.115044447,6372276
1400,38.0,0.120992092,6375594
1500,37.0,0.127654903,6378959
1600,38.0,0.134523938,6382283
1700,37.0,0.14529013,6385613
1800,36.0,0.153265307,6388937
1900,38.0,0.160153357,6392279
2000,37.0,0.166233326,6395581
2100,37.0,0.172160913,6398941
2200,38.0,0.17775964,6402259
2300,37.0,0.187396891,6405608
2400,36.0,0.194160525,6408945
2500,37.0,0.200899109,6412274
2600,37.0,0.207317729,6415604
2700,37.0,0.213216637,6418965
2800,38.0,0.219359403,6422333
2900,38.0,0.225010466,6425695
3000,38.0,0.236047198,6429046
3100,38.0,0.245678417,6432404
3200,37.0,0.25381901,6435760
3300,38.0,0.260797065,6439092
3400,37.0,0.26638328,6442417
3500,38.0,0.272413681,6445790
3600,36.0,0.281738974,6449119
3700,37.0,0.288464402,6452491
3800,37.0,0.295342844,6455867
3900,37.0,0.301817489,6459206
4000,38.0,0.307535035,6462558
4100,36.0,0.313216524,6465929
4200,37.0,0.318879909,6469323
4300,37.0,0.328376895,6472672
4400,37.0,0.334730615,6476013
4500,39.0,0.341438142,6479379
4600,37.0,0.348274282,6482726
4700,37.0,0.354319359,6486086
4800,37.0,0.359825226,6489436
4900,37.0,0.366192292,6492773
5000,37.0,0.37759779,6496119
