iterations,fitness,time,fevals
0,39.0,0.010944089,728466
100,42.0,0.020231848,733915
200,40.0,0.02928549,739369
300,39.0,0.039968287,744878
400,41.0,0.055219458,750355
500,42.0,0.064885729,755840
600,41.0,0.074551999,761314
700,41.0,0.086394064,766778
800,40.0,0.0990944,772272
900,41.0,0.108942627,777730
1000,39.0,0.118166093,783198
1100,41.0,0.126803859,788683
1200,39.0,0.135784,794159
1300,39.0,0.146965271,799654
1400,39.0,0.155746786,805134
1500,39.0,0.164458311,810619
1600,39.0,0.172554443,816115
1700,40.0,0.181416276,821577
1800,39.0,0.193957444,827058
1900,41.0,0.202972034,832540
2000,40.0,0.211248484,838014
2100,41.0,0.21979995,843504
2200,40.0,0.229125232,848984
2300,39.0,0.241248494,854490
2400,39.0,0.252503182,859939
2500,39.0,0.267230347,865426
2600,38.0,0.282811018,870903
2700,40.0,0.302340315,876371
2800,40.0,0.325536804,881862
2900,40.0,0.34947979,887378
3000,40.0,0.364194188,892867
3100,41.0,0.380388286,898370
3200,39.0,0.3979332,903845
3300,39.0,0.407895933,909352
3400,40.0,0.416465619,914846
3500,40.0,0.425361019,920336
3600,38.0,0.434273203,925810
3700,39.0,0.44698116,931284
3800,38.0,0.455563663,936786
3900,38.0,0.463634446,942299
4000,38.0,0.472281201,947755
4100,36.0,0.481299772,953237
4200,38.0,0.495613278,958680
4300,38.0,0.505049299,964156
4400,39.0,0.513884367,969628
4500,38.0,0.522149445,975130
4600,39.0,0.532135073,980608
4700,37.0,0.546707634,986110
4800,39.0,0.55571169,991596
4900,39.0,0.566190393,997095
5000,40.0,0.575247278,1002597
