iteration,MSE_train,MSE_test,acc_train,acc_tst,elapsed
0,0.170218635075,0.157407027608,0.659517426273,0.685534591195,0.003470147
10,0.169844625114,0.156991891439,0.659517426273,0.685534591195,0.039540992
20,0.170155587507,0.157178212449,0.659517426273,0.685534591195,0.07514562
30,0.169952713167,0.157319271521,0.659517426273,0.679245283019,0.110534264
40,0.169956585756,0.157454316861,0.659517426273,0.679245283019,0.145177607
50,0.274502841754,0.282666894621,0.426273458445,0.421383647799,0.182959434
60,0.274651241583,0.2829693676,0.426273458445,0.421383647799,0.218337697
70,0.306941294292,0.326875302924,0.378016085791,0.339622641509,0.261352576
80,0.306179014662,0.324767157211,0.378016085791,0.345911949686,0.308307417
90,0.311563279089,0.324162843396,0.369973190349,0.345911949686,0.351835937
100,0.311467318186,0.32224213034,0.372654155496,0.345911949686,0.390233927
110,0.309199991494,0.321547158525,0.378016085791,0.345911949686,0.432602735
120,0.287420621153,0.295726861302,0.41018766756,0.383647798742,0.474134775
130,0.287389671312,0.295726861302,0.41018766756,0.383647798742,0.512698262
140,0.282665422966,0.289058496449,0.415549597855,0.396226415094,0.556766328
150,0.271725350572,0.27945353066,0.428954423592,0.408805031447,0.601614503
160,0.237114837763,0.238480069264,0.482573726542,0.48427672956,0.644406493
170,0.241713838086,0.246657305965,0.471849865952,0.477987421384,0.694066987
180,0.230433881468,0.237269067327,0.495978552279,0.48427672956,0.736043148
190,0.263392578659,0.268940147,0.445040214477,0.433962264151,0.780739815
200,0.264324689319,0.271510687751,0.44235924933,0.427672955975,0.82629439
210,0.256068555995,0.264069975491,0.455764075067,0.440251572327,0.870076494
220,0.259450305121,0.266465331233,0.450402144772,0.433962264151,0.91473786
230,0.238460044921,0.246268921936,0.490616621984,0.465408805031,0.962071492
240,0.28404724345,0.286380627918,0.415549597855,0.415094339623,1.006880235
250,0.236732043325,0.233878388128,0.493297587131,0.48427672956,1.052454492
260,0.236281963258,0.233233495243,0.495978552279,0.496855345912,1.099456002
270,0.256261897633,0.259680664729,0.450402144772,0.459119496855,1.144995113
280,0.212894478923,0.218731262322,0.549597855228,0.522012578616,1.187309951
290,0.212570353151,0.21841458206,0.54691689008,0.522012578616,1.231513001
300,0.21150727874,0.223832500915,0.54691689008,0.522012578616,1.272736131
310,0.221922043899,0.230943384698,0.522788203753,0.51572327044,1.318104198
320,0.240079550196,0.235944113564,0.477211796247,0.503144654088,1.362574144
330,0.239824690266,0.235956928209,0.477211796247,0.503144654088,1.403956815
340,0.201533421983,0.221358385048,0.576407506702,0.522012578616,1.444695519
350,0.270945875931,0.284706706368,0.44235924933,0.415094339623,1.489132946
360,0.275628462655,0.283152155197,0.43163538874,0.421383647799,1.546154921
370,0.280967235204,0.287025115435,0.42091152815,0.415094339623,1.590726777
380,0.299232538104,0.304168682722,0.388739946381,0.383647798742,1.632712528
